cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
0xd32F2EB49E91aA160946f3538564118388d6246a,,2457987,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,sushiswap_v2,0.003,3e-09,0xd32F2EB49E91aA160946f3538564118388d6246a,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,18,18,3,WFTM,DAI,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xA48869049e36f8Bfe0Cc5cf655632626988c0140,,2474918,sushiswap_v2 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,sushiswap_v2,0.003,3e-09,0xA48869049e36f8Bfe0Cc5cf655632626988c0140,,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,6,18,3,USDC,WFTM,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x3d0BD54c48C2C433ea6fed609Cc3d5Fb7A77622B,,2475037,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x74b23882a30290451A17c44f4F05243b6b58C76d,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x74b23882a30290451A17c44f4F05243b6b58C76d,sushiswap_v2,0.003,3e-09,0x3d0BD54c48C2C433ea6fed609Cc3d5Fb7A77622B,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x74b23882a30290451A17c44f4F05243b6b58C76d,18,18,3,WFTM,WETH,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x9555CBDFe51D1619FC199Ba0b623516Fbd02b0A3,,2531162,sushiswap_v2 0x1B27A9dE6a775F98aaA5B90B62a4e2A0B84DbDd9/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x1B27A9dE6a775F98aaA5B90B62a4e2A0B84DbDd9/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,sushiswap_v2,0.003,3e-09,0x9555CBDFe51D1619FC199Ba0b623516Fbd02b0A3,,0x1B27A9dE6a775F98aaA5B90B62a4e2A0B84DbDd9,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,6,18,3,USDT,WFTM,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x05c362d5f421A346A04C295e1f36DFd13b4238b1,,2533902,sushiswap_v2 0x0d5dAD50e2a150a2cB3ed56735291101AEB27941/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x0d5dAD50e2a150a2cB3ed56735291101AEB27941/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,sushiswap_v2,0.003,3e-09,0x05c362d5f421A346A04C295e1f36DFd13b4238b1,,0x0d5dAD50e2a150a2cB3ed56735291101AEB27941,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18,18,3,TEST,WFTM,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbd0eEC56dA621B6b31E3d06614f7853624e1c0af,,2558788,sushiswap_v2 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,sushiswap_v2,0.003,3e-09,0xbd0eEC56dA621B6b31E3d06614f7853624e1c0af,,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,6,18,3,USDC,DAI,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8623836F527350Ec50691479674Df0cD7773810c,,2558880,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x8623836F527350Ec50691479674Df0cD7773810c,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,18,18,3,WFTM,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xbeddBAe6e24314a3336eF5E706A9a039395d6CB7,,2566067,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,sushiswap_v2,0.003,3e-09,0xbeddBAe6e24314a3336eF5E706A9a039395d6CB7,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,18,18,3,WFTM,FETH,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x19Aea462D6d917a75b8971711D0AF44F76e129d7,,2568422,sushiswap_v2 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x19Aea462D6d917a75b8971711D0AF44F76e129d7,,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,6,18,3,USDC,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x673C97c8040a615444D3B56f3F17075c30fA3f0a,,2568426,sushiswap_v2 0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x673C97c8040a615444D3B56f3F17075c30fA3f0a,,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,18,18,3,DAI,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xB417e91dfD9A201d9151A6a823e4E26e1374BEe9,,2572360,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xa57E7fD8E678d9F728A789343cD85D4C5685BA87,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xa57E7fD8E678d9F728A789343cD85D4C5685BA87,sushiswap_v2,0.003,3e-09,0xB417e91dfD9A201d9151A6a823e4E26e1374BEe9,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xa57E7fD8E678d9F728A789343cD85D4C5685BA87,18,18,3,WFTM,AnyWBNB,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8E38ef5BFb9b62FB85Ece4967e7919Ffc8ef8e72,,2572623,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x2202C52C9076A49400aaccf159e1956269eaa673,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x2202C52C9076A49400aaccf159e1956269eaa673,sushiswap_v2,0.003,3e-09,0x8E38ef5BFb9b62FB85Ece4967e7919Ffc8ef8e72,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x2202C52C9076A49400aaccf159e1956269eaa673,18,18,3,WFTM,FGOLD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
